date,start_time,end_date,speed
2024/02/10,07:04,02/10,13576
2024/02/10,23:17,02/10,13576
2024/02/12,06:38,02/12,13575
2024/02/14,04:16,02/14,DIM
2024/02/15,09:37,02/15,DIM
2024/02/16,07:07,02/16,13576
2024/02/17,14:05,02/17,-----
2024/02/17,14:43,02/17,-----
2024/02/20,00:08,02/20,-----
2024/03/08,03:50,03/08,-----
2024/03/21,18:47,03/21,13614
2024/03/23,01:26,03/24,13614
2024/04/21,21:56,04/21,13638
2024/04/23,18:00,04/23,13645
2024/05/03,02:25,05/03,13663
2024/05/08,05:21,05/08,13664
2024/05/08,12:11,05/08,13664
2024/05/08,21:44,05/08,13664
2024/05/09,09:20,05/09,13664
2024/05/09,11:59,05/09,13664
2024/05/09,18:02,05/09,13664
2024/05/10,06:55,05/10,13664
2024/05/11,01:33,05/11,13664
2024/05/13,09:32,05/13,13664
2024/05/14,02:12,05/14,13664
2024/05/14,12:56,05/14,13664
2024/05/14,17:00,05/14,13664
2024/05/14,18:07,05/14,13682
2024/05/15,08:33,05/15,13664
2024/05/15,10:37,05/15,DIM
2024/05/15,11:43,05/15,13664
2024/05/17,22:05,05/17,13685
2024/05/20,05:38,05/20,13664
2024/05/27,07:24,05/27,-----
2024/06/01,20:26,06/01,13697
2024/06/08,01:43,06/08,13697
2024/06/21,23:49,06/22,DIM
2024/07/04,14:36,07/04,13732
2024/07/16,13:44,07/16,13738
2024/07/16,22:36,07/16,13744
2024/07/21,16:31,07/21,13757
2024/07/23,14:18,07/23,13765
2024/07/26,21:08,07/26,13768
2024/07/27,05:53,07/27,-----
2024/07/28,10:51,07/28,13762
2024/07/28,22:22,07/29,13768
2024/07/29,18:10,07/29,13762
2024/08/01,12:15,08/01,13768
2024/08/02,10:55,08/02,13768
2024/08/04,15:45,08/04,13780
2024/08/05,06:10,08/05,13780
2024/08/05,15:51,08/05,13780
2024/08/07,14:05,08/07,13777
2024/08/08,20:13,08/08,13777
2024/08/09,21:25,08/09,13774
2024/08/14,18:15,08/15,13784
2024/09/09,03:20,09/09,DIM
2024/09/09,05:30,09/09,-----
2024/09/14,15:34,09/15,13825
2024/09/22,21:37,09/23,13835
